更新时间,#genre#
2025-03-30 16:29:42,url


央视频道,#genre#
CCTV怀旧剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.25:5146
CCTV怀旧剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.5:5146
CCTV电视指南[1920x1080],http://116.30.251.13:8088/udp/239.253.43.10:5146
CCTV电视指南[1920x1080],http://116.30.251.13:8088/udp/239.253.43.19:5146
CCTV电视指南[1920x1080],http://113.104.185.200:7088/udp/239.253.43.10:5146
CCTV电视指南[1920x1080],http://113.104.185.200:7088/udp/239.253.43.19:5146
CCTV第一剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.15:5146
CCTV第一剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.28:5146
CCTV第一剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.15:5146
CCTV第一剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.28:5146
CCTV风云剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.26:5146
CCTV风云剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://113.104.185.200:7088/udp/239.253.43.26:5146
CCTV风云足球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.14:5146
CCTV风云足球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.20:5146
CCTV风云足球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.14:5146
CCTV风云足球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.20:5146
CCTV风云音乐[1920x1080],http://113.104.185.200:7088/udp/239.253.43.6:5146
CCTV风云音乐[1920x1080],http://116.30.251.13:8088/udp/239.253.43.29:5146
CCTV风云音乐[1920x1080],http://116.30.251.13:8088/udp/239.253.43.6:5146
CCTV风云音乐[1920x1080],http://113.104.185.200:7088/udp/239.253.43.29:5146
CCTV风云音乐[1920x1080],http://113.104.185.200:7088/udp/239.253.43.6:5146
CCTV高尔夫·网球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.12:5146
CCTV高尔夫·网球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.22:5146
CCTV高尔夫·网球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.12:5146
CCTV高尔夫·网球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.22:5146

卫视频道,#genre#
TVS2广东南方卫视标清,http://27.46.65.16:17088/udp/239.0.1.52:5009
TVS2广东南方卫视标清,http://27.46.65.16:17088/udp/239.0.1.52:5009
三沙卫视[1920x1080],http://113.104.185.200:7088/udp/239.253.43.113:5146
三沙卫视[1920x1080],http://116.30.251.13:8088/udp/239.253.43.113:5146
三沙卫视[1920x1080],http://113.104.185.200:7088/udp/239.253.43.113:5146
东南卫视,http://114.254.145.176:23234/udp/239.3.1.156:8148
东南卫视,http://114.254.147.143:23234/udp/239.3.1.156:8148
东南卫视,http://114.254.145.176:23234/udp/239.3.1.156:8148
东南卫视,http://114.254.147.143:23234/udp/239.3.1.156:8148
东南卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.0.146:5146
东南卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.1.104:5146
东南卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.0.146:5146
东南卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.1.104:5146
东南卫视标清,http://27.46.65.16:17088/udp/239.0.1.26:8112
东南卫视标清,http://27.46.65.16:17088/udp/239.0.1.26:8112
东方卫视,http://114.254.145.176:23234/udp/239.3.1.136:8032
东方卫视,http://114.254.147.143:23234/udp/239.3.1.136:8032
东方卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.0.98:5146
东方卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.1.156:5146
东方卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.1.218:5146
东方卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.0.98:5146
东方卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.1.156:5146
东方卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.1.218:5146
东方卫视标清,http://27.46.65.16:17088/udp/239.0.1.10:8192
东方卫视标清,http://27.46.65.16:17088/udp/239.0.1.10:8192
东方卫视高清,http://27.46.65.16:17088/udp/239.0.1.82:8032
东方卫视高清,http://27.46.65.16:17088/udp/239.0.1.82:8032
云南卫视-标清,http://27.46.65.16:17088/udp/239.0.1.23:8108
云南卫视-标清,http://27.46.65.16:17088/udp/239.0.1.23:8108
云南卫视[1920x1080],http://116.30.251.13:8088/udp/239.253.43.100:5146
云南卫视[1920x1080],http://116.30.251.13:8088/udp/239.253.43.37:5146
云南卫视[1920x1080],http://113.104.185.200:7088/udp/239.253.43.100:5146
云南卫视[1920x1080],http://113.104.185.200:7088/udp/239.253.43.37:5146
兵团卫视[785x576],http://116.30.251.13:8088/udp/239.77.0.77:5146
兵团卫视[785x576],http://116.30.251.13:8088/udp/239.77.1.80:5146
兵团卫视[785x576],http://113.104.185.200:7088/udp/239.77.0.77:5146
兵团卫视[785x576],http://113.104.185.200:7088/udp/239.77.1.80:5146
兵团卫视标清,http://27.46.65.16:17088/udp/239.0.1.38:4120
兵团卫视标清,http://27.46.65.16:17088/udp/239.0.1.38:4120
内蒙古卫视[768x576],http://116.30.251.13:8088/udp/239.77.0.70:5146
内蒙古卫视[768x576],http://113.104.185.200:7088/udp/239.77.0.70:5146
